"NATURAL","SCIENCES ALGORITMI ALGORITMI Research Center","http://algoritmi.uminho.pt/"
"ALGORITMI","ALGORITMI Research Center","http://algoritmi.uminho.pt/"
"BioISI","Biosystems and Integrative Sciences Institute","http://www.BioISI.pt"
"C2TN","Center for Nuclear Sciences and Technologies","http://c2tn.tecnico.ulisboa.pt/"
"CAMGSD","Center for Mathematical Analysis Geometry and Dynamical Systems","http://camgsd.tecnico.ulisboa.pt/index.php.en"
"CBMA","Centre of Molecular and Environmental Biology","http://cbma.bio.uminho.pt"
"CCMAR","Algarve Centre for Marine Sciences","http://ccmar.ualg.pt"
"cE3c","Centre for Ecology Evolution and Environmental Changes","http://ce3c.ciencias.ulishoa.pt/"
"CEAFEL","Center for Functional Analysis Linear Structures and Applications","http://ceafel.tecnico.ulishoa.pt/"
"CEAUL","Centre of Statistics and its Applications","http://www.ceaul.fc.ul.pt/"
"CeFEMA","Center of Physics and Engineering of Advanced Materials","http://cefema.tecnico.ulishboa.pt"
"CEFITEC","Centre of Physics and Technological Research","http://www.cefitec.fct.unl.pt/"
"CEMAT","Center for Computational and Stochastic Mathematics","http://cemat.tecnico.ulisboa.pt"
"CENTRA","Center for Astrophysics and Gravitation","http://centra.tecnico.ulishoa.pt/"
"CESAM","Centre for Environmental and Marine Studies","http://www.cesam.ua.pt"
"CFE","Centre for Functional Ecology - Science for People & the Planet","http://cfe.uc.pt/"
"CFisUC","Center for Physics of the University of Coimbra","http://cfisuc.fis.uc.pt/"
"CFTC","Center for Theoretical and Computational Physics","http://cftc.cii.fc.ul.pt"
"CFTP","Center for Theoretical Particle Physics","http://cftp.tecnico.ulisboa.pt"
"CF-UM-UP","Physics Center of Minho and Porto Universities","http://www.cf-um-up.pt"
"CGEO","Geosciences Center","http://www.uc.pt/fctuc/ID/Geo"
"CIBB","Center for Innovative Biomedicine and Biotechnology","http://www.cibb.uc.pt"
"CICGE","Centre for Research in Geospace Science","http://www.fc.up.pt/cicge"
"CIDMA","Center for Research and Development in Mathematics and Applications","http://cidma.mat.ua.pt/"
"CIIC","Research Center in Informatics and Communications","http://ciic.ipleiria.pt"
"CIIMAR","Interdisciplinary Centre of Marine and Environmental Research","http://www.ciimar.up.pt"
"CIMA","Research Centre for Mathematics and Applications","http://www.cima.uevora.pt/"
"CIMA","UALG Centre for Marine and Environmental Research","http://www.cima.ualg.pt"
"CIQUP","Chemistry Research Unit of University of Porto","http://ciqup.fc.up.pt"
"CISUC","Centre for Informatics and Systems of the University of Coimbra","http://www.cisuc.uc.pt"
"CITEUC","Centre for Earth and Space Research of the University of Coimbra","http://geofisico.dyndns.org/"
"CMA/FCT/UNL","Center for Mathematics and Applications","http://www.cma.fct.unl.pt/en"
"CMAFCIO","Center for Mathematics Fundamental Applications and Operations Research","http://cmafcio.campus.ciencias.ulisboa.pt/"
"CMAT","Center of Mathematics of the University of Minho","http://www.cmat.uminho.pt"
"CMA-UBI","Center of Mathematics and Applications of University of Beira Interior","http://www.cma.ubi.pt"
"CMUC","Center for Mathematics University of Coimbra","http://cmuc.mat.uc.pt/rdonweb/"
"CMUP","Centre of Mathematics of the University of Porto","http://cmup.fc.up.pt/main/"
"CQC","Coimbra Chemistry Center","http://uc.pt/fctuc/dquimica/Investigacao/CQC"
"CQE","Structural Chemistry Center","http://cqge.tecnico.ulisboa.pt"
"COM","Madeira Chemistry Research Centre","http://cgm.uma.pt"
"CQ-UM","Chemistry Center - University of Minho","http://cq.uminho.pt"
"CQVR","Chemistry Center - Vila Real","http://cqvr.purpleprofile.pt/"
"GeoBioTec","GeoBioSciences GeoTechnologies and GeoEngineering","http://ua.pt/geo/PageText.aspxid-17534"
"GFMUL","Group of Mathematical Physics of the University of Lisbon","http://gfm.cii.fc.ul.pt/set"
"GILT","Games Interaction & Learning Technologies","http://gilt.isep.ipp.pt/"
"HERCULES","Hercules Laboratory - Cultural Heritage Studies and Safeguard","http://www.hercules.uevora.pt"
"IA","Institute of Astrophysics and Space Sciences","http://www.iastro.pt/"
"IBEB","Institute of Biophysics and Biomedical Engineering","http://www.ibeb.fc.ul.pt"
"ICT","Institute of Earth Sciences","http://www.ict.org.pt/"
"IDL","Institute Dom Luiz","http://idl.campus.ciencias.ulishoa.pt"
"IFIMUP","IFIMUP Institute of Physics for Advanced Materiais Nanotechnology and Photonics","http://www.ifimup.up.ptpt"
"IFIMUP","Institute of Physics for Advanced Materiais Nanotechnology and Photonics","http://www.ifimup.up.ptpt"
"InBIO","Research Network in Biodiversity and Evolutionary Biology","http://inbio-la.pt"
"IPFN","Institute for Plasmas and Nuclear Fusion","http://www.ipfn.tecnico.ulisboa.pt"
"IVAR","Research Institute for Volcanology and Risks Assessment","http://www.ivar.azores.gov.pt"
"LIBPhys","Laboratory for Instrumentation Biomedical Engineering and Radiation Physics","http://libphys.uc.pt"
"LIP","Laboratory of Instrumentation and Experimental Particle Physics","http://www.lip.pt"
"MagIC","Information Management Research Center","http://www.novaims.unl.pt/docentes-investiga"
"MARE","Marine and Environmental Sciences Centre","http://www.mare-centre.pt/en"
"Biologica","Antonio Xavier","http://www.itgb.unl.pt/mostmicro"
"http","www.itgb.unl.ptmostmicro NOVA LINCS NOVA Laboratory for Computer Science and Informatics","http://nova-lincs.di.fct.unl.pt/"
"NOVA","LINCS NOVA Laboratory for Computer Science and Informatics","http://nova-lincs.di.fct.unl.pt/"
"Okeanos","UAc Okeanos R&D Centre - University of the Azores","http://www.okeanos.uac.pt"
"QFM-UC","Molecular Physical-Chemistry R&D Unit","http://www.ci.uc.pt/gfm/"
"REQUIMTE","Associated Laboratory for Green Chemistry - Clean Technologies and Processes","http://www.requimte.pt/laqv/"
"UCIBIO","Applied Molecular Biosciences Unit","http://www.ucibio.pt"
"ENGINNERING","AND TECHNOLOGY SCIENCES 2Ai Applied Artificial Intelligence Laboratory","http://www.2ai.ipca.pt"
"2Ai","Applied Artificial Intelligence Laboratory","http://www.2ai.ipca.pt"
"2C2T","Centre for Textile Science and Technology","http://www.2c2t.uminho.pt"
"C2I2","Smart Cities Research Center","http://www.ipt.pt"
"CDRSP","Centre for Rapid and Sustainable Product Development","http://www.cdrsp.ipleiria.pt"
"CEB-UM","Centre of Biological Engineering of the University of Minho","https://www.ceb.uminho.pt/"
"CeDRI","Research Centre in Digitalization and Intelligent Robotics","http://cedri.ipb.pt/"
"CEFT","Transport Phenomena Research Center","http://paginas.fe.up.pt/ceft/Welcome.html"
"CEMMPRE","Centre for Mechanical Enginnering Materials and Processes","http://uc.pt/entiii/research_centers/CEMMPRE"
"CENSE","Center for Environmental and Sustainability Research","https://www.cense.fct.unl.pt"
"CENTEC","Centre for Marine Technology and Ocean Engineering","http://www.centec.tecnico.ulisboa.pt/en/"
"Centre","Bio Centre Bio Biorefineries Bioindustries and Bioproducts","http://blc3.pt/"
"CEOT","Center for Electronics Optoelectronics and Telecommunications","http://www.ceot.ualg.pt"
"CERENA","Center for Natural Resources and Environment","http://www.cerena.pt"
"CERIS","Civil Engineering Research and Innovation for Sustainability","http://ceris.pt"
"CICECO","Aveiro Institute of Materials","http://www.ciceco.ua.pt"
"CIEPQPF","Chemical Process Engineering and Forest Products Research Centre","http://www.uc.pt/fctuc/deq/ciepgpf"
"CIETI","Center for Innovation in Industrial Engineering and Technology","http://www.cieti.isep.ipp.pt"
"CISE","Electromechatronic Systems Research Centre","http://www.cise.ubi.pt/"
"CISTER","Research Centre in Real-Time and Embedded Computing Systems","http://www.cister.isep.ipp.pt"
"C-MADE","Centre of Materials and Building Technologies","https://cmadeubi.wordpress.com"
"C-MAST","Centre for Mechanical and Aerospace Science and Technologies","http://www.aerospace.ubi.pt/new/index.html"
"CMEMS-UMinho","Microelectromechanical Systems Research Unit","http://www.mems.dei.uminho.pt"
"CONSTRUCT","Institute of R&D in Structures and Construction","http://www.fe.up.pt/construct"
"COPELABS","Cognitive and People-centric Computing R&D Unit","http://copelabs.ulusofona.pt"
"CTAC","Centre for Territory Environment and Construction","http://ctac.uminho.pt/"
"CTS","Centre of Technology and Systems","http://www.cts.uninova.pt"
"FibEnTech","Fiber Materials and Environmental Technologies","http://ubi.pt/Entidade/FibEnTech"
"GECAD","Research Group on Intelligent Engineering and Computing for Advanced Innovation and","http://www.gecad.isep.ipp.pt/"
"Development","iI3N Institute of Nanostructures Nanomodelling and Nanofabrication","http://www.i3n.org"
"iI3N","Institute of Nanostructures Nanomodelling and Nanofabrication","http://www.i3n.org"
"iBB","Institute for Bioengineering and Biosciences","http://ibb.tecnico.ulisboa.pt"
"Associate","Laboratory","http://icvs3bs.pt/"
"ACRONIM","NAME WEBPAGE IEETA Institute of Electronics and Informatics Engineering of Aveiro","http://www.ieeta.pt"
"IEETA","Institute of Electronics and Informatics Engineering of Aveiro","http://www.ieeta.pt"
"INESC","Coimbra Institute for Systems Engineering and Computers at Coimbra","http://www.inescc.pt"
"INESC","MN INESC Microsystems and Nanotechnologies","http://Www.inesc-mn.pt"
"INESC","TEC INESC TEC- Institute for Systems and Computer Engineering Technology and Science","http://www.inesctec.pt"
"INESC-ID","Institute for Systems and Computer engineering Research","http://www.inesc-id.pt"
"and","Development IPC Institute for Polymers and Composites","http://www.ipc.uminho.pt"
"IPC","Institute for Polymers and Composites","http://www.ipc.uminho.pt"
"ISISE","Institute for Sustainability and Innovation in Structural Engineering","http://www.isise.net"
"ISR-UC","Institute of systems and Robotics - COIMBRA","https://www.isr.uc.pt/"
